,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CLPS1,2.69713973756808E-238,9.17794940922395,1,0.046,5.79318644232249E-234,20,CLPS
PRSS11,0,8.39318787303366,1,0.022,0,20,PRSS1
CELA3A1,0,8.12765727049998,1,0.017,0,20,CELA3A
SYCN1,0,7.79143669271456,1,0.008,0,20,SYCN
PNLIP1,0,7.76174681353024,1,0.013,0,20,PNLIP
CTRC1,0,7.2573199296947,1,0.008,0,20,CTRC
PRSS25,2.48146029557337E-108,7.23795939458412,1,0.115,5.32992856886204E-104,20,PRSS2
CTRB21,0,7.22174955902301,1,0.007,0,20,CTRB2
PLA2G1B1,0,7.12728301668342,1,0.01,0,20,PLA2G1B
CPB11,0,7.05217289248311,1,0.011,0,20,CPB1
CELA2A1,0,7.01229408628004,1,0.009,0,20,CELA2A
CPA11,0,6.9818224824662,1,0.007,0,20,CPA1
CELA3B1,0,6.96023797323608,1,0.008,0,20,CELA3B
CTRB11,0,6.86293587999093,1,0.005,0,20,CTRB1
AMY2A1,0,6.80700864254567,1,0.007,0,20,AMY2A
REG1A2,5.77722744010627E-238,6.59414614699257,1,0.045,1.24089068186043E-233,20,REG1A
CEL1,0,5.87576577757538,1,0.006,0,20,CEL
GP21,0,5.46229125864889,0.981,0.011,0,20,GP2
CPA21,0,5.40815886815393,1,0.005,0,20,CPA2
PRSS34,5.79537484487684E-94,5.26408520319957,1,0.137,1.2447885629311E-89,20,PRSS3
SPINK17,1.59926470133573E-55,5.09142112809494,1,0.276,3.43506065199902E-51,20,SPINK1
CELA2B1,0,4.81090825710712,1,0.004,0,20,CELA2B
KLK12,3.55569345315884E-201,4.58193426997152,1,0.055,7.63727396803986E-197,20,KLK1
AMY2B1,0,4.34848927293503,1,0.01,0,20,AMY2B
REG1B1,0,4.08676058746478,0.596,0.004,0,20,REG1B
CTRL1,0,3.45011872732696,0.962,0.004,0,20,CTRL
PNLIPRP11,0,3.29795280587708,0.981,0.003,0,20,PNLIPRP1
GATM3,7.36463461806319E-100,3.15587481127908,0.962,0.112,1.58184986961379E-95,20,GATM
MT1G3,5.90733737705232E-177,2.82658683381972,0.942,0.052,1.26883699521707E-172,20,MT1G
ERP271,3.75634085175905E-286,2.65040079247523,0.846,0.025,8.06824451549325E-282,20,ERP27
RNASE16,8.76892303226598E-46,2.40945301633316,1,0.281,1.88347697810041E-41,20,RNASE1
CUZD11,0,2.22623745839989,0.846,0.005,0,20,CUZD1
RARRES23,6.12141457579223E-114,2.21636211027555,0.846,0.068,1.31481863673441E-109,20,RARRES2
SEL1L2,1.31461715655494E-38,1.95747103407384,0.808,0.193,2.82366619056435E-34,20,SEL1L
PDIA23,1.9623788718937E-165,1.95243865928309,0.769,0.037,4.21499357894048E-161,20,PDIA2
NUCB23,1.00843008650733E-42,1.93269825104813,0.865,0.203,2.16600698280909E-38,20,NUCB2
GPHA21,0,1.884414042163,0.788,0.002,0,20,GPHA2
SSR46,1.17336638366473E-25,1.54467095619527,1,0.715,2.52027365547348E-21,20,SSR4
ALB1,0,1.53772162177566,0.673,0.004,0,20,ALB
RBPJL,0,1.49649894803379,0.538,0.002,0,20,RBPJL
SERPINI2,0,1.40964508507547,0.5,0.001,0,20,SERPINI2
TEX11,0,1.3661310087621,0.519,0.002,0,20,TEX11
PRDX46,7.48771798340182E-27,1.31758657410636,0.904,0.304,1.60828694565488E-22,20,PRDX4
MT1E4,1.70505752590869E-25,1.26901015241234,0.596,0.125,3.66229305989927E-21,20,MT1E
TMEM972,9.02222619747606E-38,1.23196619026947,0.558,0.084,1.93788396495588E-33,20,TMEM97
AQP8,0,1.22696639091809,0.481,0.001,0,20,AQP8
CD249,1.51896987614577E-29,1.20450754195863,0.885,0.226,3.2625953969735E-25,20,CD24
IGFBP25,4.32005399230089E-28,1.19734933126192,0.596,0.113,9.27904397006308E-24,20,IGFBP2
FKBP113,3.96982873385479E-28,1.18601931607749,0.673,0.149,8.5267951374467E-24,20,FKBP11
